CustomerID,Purchased_Product,Recommended_Product,Confidence,Lift,Recommendation_Score
14646.0,POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE KITCHEN,0.8418367346938775,16.20637385388938,0.6830371655566692
14646.0,COFFEE MUG APPLES DESIGN,COFFEE MUG PEARS  DESIGN,0.7194244604316546,24.29581758322156,0.6566680968348064
14646.0,POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE LIVINGROOM ,0.7244897959183674,17.497526283240568,0.6216990217921335
14646.0,WATERING CAN PINK BUNNY,WATERING CAN BLUE ELEPHANT,0.6967741935483871,17.573703552470395,0.5864181998645683
14646.0,RED DINER WALL CLOCK,IVORY DINER WALL CLOCK,0.676923076923077,12.151074151074152,0.5403898682820918
16029.0,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.6738609112709832,5.359951559710316,0.5711322805629028
16029.0,LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.6402877697841727,5.708158305570309,0.5485474706464374
16029.0,LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.6187050359712231,5.870332305584104,0.5334402329907275
16029.0,COOK WITH WINE METAL SIGN ,GIN + TONIC DIET METAL SIGN,0.6513409961685823,8.76889820855338,0.5200847850770044
16029.0,PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX ,0.6324786324786325,9.511046605386229,0.5034022818464134
12347.0,WATERING CAN PINK BUNNY,WATERING CAN BLUE ELEPHANT,0.6967741935483871,17.573703552470395,0.5864181998645683
12347.0,60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.6596306068601583,4.462865820607353,0.5352624868262237
12347.0,RED 3 PIECE RETROSPOT CUTLERY SET,GREEN 3 PIECE POLKADOT CUTLERY SET,0.5833333333333334,18.02002583979328,0.5320017864195343
12347.0,WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.6772727272727272,8.848956780923993,0.520133717236244
12347.0,SET OF 60 VINTAGE LEAF CAKE CASES ,SET OF 60 PANTRY DESIGN CAKE CASES ,0.6574585635359116,8.012147937891767,0.4826985686731022
