Purchased_Product_Code,Recommended_Product_Code,Customers_Bought_Both,Confidence,Lift,Recommendation_Score
22916,22917,118,0.9672131147540983,31.08342147012163,0.857050144784764
22917,22916,118,0.9516129032258065,31.08342147012163,0.8492500390206181
22921,22916,103,0.9626168224299065,31.44285276543588,0.8484093884136503
22918,22916,115,0.9504132231404959,31.04423519848259,0.84632192070287
22921,22918,102,0.9532710280373832,31.394917741561752,0.8426276716521923
22916,22918,115,0.9426229508196722,31.04423519848259,0.8424267845424582
22921,22917,102,0.9532710280373832,30.635363280072355,0.8353806721465589
22918,22917,114,0.9421487603305785,30.277925886430285,0.8342267751611703
22918,22920,114,0.9421487603305785,30.035702479338845,0.8319156928090209
22917,22919,116,0.9354838709677419,30.063735691987514,0.8301536479415854
22919,22917,116,0.9354838709677419,30.063735691987514,0.8301536479415854
22916,22919,114,0.9344262295081968,30.02974616604971,0.8279975975039247
22919,22920,116,0.9354838709677419,29.823225806451614,0.82785891450251
22917,22920,116,0.9354838709677419,29.823225806451614,0.82785891450251
22918,22919,113,0.9338842975206612,30.01233004532125,0.8269089964316865
22916,22920,114,0.9344262295081968,29.78950819672131,0.8257054584497436
22920,22917,116,0.928,29.823225806451614,0.8241169790186391
22920,22919,116,0.928,29.823225806451614,0.8241169790186391
22917,22918,114,0.9193548387096774,30.277925886430285,0.8228298143507198
22919,22916,114,0.9193548387096774,30.02974616604971,0.8204619021046651
22921,22919,100,0.9345794392523364,30.034669882423877,0.8190006589672145
22920,22918,114,0.912,30.035702479338845,0.8168413126437317
22919,22918,113,0.9112903225806451,30.01233004532125,0.8156120089616783
22920,22916,114,0.912,29.78950819672131,0.8144923436956453
22916,22921,103,0.8442622950819673,31.44285276543588,0.7892321247396807
22918,22921,102,0.8429752066115702,31.394917741561752,0.7874797609392858
22917,22921,102,0.8225806451612904,30.635363280072355,0.7700354807085125
21086,21094,147,0.91875,21.53658088235294,0.7606235534092198
23172,23171,138,0.9387755102040817,21.016968585186884,0.7598154335666432
22919,22921,100,0.8064516129032258,30.034669882423877,0.7549367457926592
22698,22697,274,0.9319727891156463,10.287843669323685,0.7426455639461623
21094,21086,147,0.8647058823529412,21.53658088235294,0.7336014945856905
22747,22746,101,0.9017857142857143,21.779491341991342,0.72449162144424
22302,22303,100,0.847457627118644,24.29581758322156,0.7206846801783011
22747,22748,106,0.9464285714285714,18.21989302967564,0.7161078279084784
23171,23170,159,0.8932584269662921,17.031745605074995,0.7127141870036224
23174,23175,154,0.8700564971751412,18.248290217068092,0.7094630900321881
23172,23170,134,0.9115646258503401,17.380789636428734,0.7089109121346192
22697,22699,307,0.850415512465374,8.472264542936289,0.7060426404539708
22746,22748,147,0.8909090909090909,17.151075977162932,0.7048604746791285
21239,21240,103,0.8174603174603174,23.777951569922372,0.7026994014832526
21124,21122,143,0.8719512195121951,17.54911924119241,0.696573453938581
22698,22699,259,0.8809523809523809,8.776488095238095,0.6929433495070335
22746,22745,142,0.8606060606060606,17.497526283240568,0.6897571541359802
21901,21899,102,0.796875,23.17917427007299,0.6860422714814395
47590A,47590B,178,0.8436018957345972,15.42088786468977,0.6848943861541994
